starter_sentence|score|variation|temperature|iter|text
what's the best thing about living in switzerland|1|1.0|None|0|what's the best thing about living in switzerland ? a little bit .
what's the best thing about living in switzerland|1|1.0|None|1|what's the best thing about living in switzerland ? a
what's the best thing about living in switzerland|1|1.0|None|2|what's the best thing about living in switzerland ? a little bit .
what's the best thing about living in switzerland|1|1.0|None|3|what's the best thing about living in switzerland ? a lot of people in the world .
what's the best thing about living in switzerland|1|1.0|None|4|what's the best thing about living in switzerland ? a little bit .
what's the best thing about living in switzerland|1|1.0|None|5|what's the best thing about living in switzerland ? a little bit .
what's the best thing about living in switzerland|1|1.0|None|6|what's the best thing about living in switzerland ? a
what's the best thing about living in switzerland|1|1.0|None|7|what's the best thing about living in switzerland ? a little bit .
what's the best thing about living in switzerland|1|1.0|None|8|what's the best thing about living in switzerland ? a man .
what's the best thing about living in switzerland|1|1.0|None|9|what's the best thing about living in switzerland ? a little bit .
what's the best thing about living in switzerland|1|1.0|None|10|what's the best thing about living in switzerland ? a little bit .
what's the best thing about living in switzerland|1|1.0|None|11|what's the best thing about living in switzerland ? a little bit .
what's the best thing about living in switzerland|1|1.0|None|12|what's the best thing about living in switzerland ? a little bit .
what's the best thing about living in switzerland|1|1.0|None|13|what's the best thing about living in switzerland ? a little bit .
what's the best thing about living in switzerland|1|1.0|None|14|what's the best thing about living in switzerland ? a little bit .
what's the best thing about living in switzerland|1|1.0|None|15|what's the best thing about living in switzerland ? a little bit .
what's the best thing about living in switzerland|1|1.0|None|16|what's the best thing about living in switzerland ? a man .
what's the best thing about living in switzerland|1|1.0|None|17|what's the best thing about living in switzerland ? a
what's the best thing about living in switzerland|1|1.0|None|18|what's the best thing about living in switzerland ? a
what's the best thing about living in switzerland|1|1.0|None|19|what's the best thing about living in switzerland ? a man .
what's the best thing about living in switzerland|1|1.0|None|20|what's the best thing about living in switzerland ? a little bit .
what's the best thing about living in switzerland|1|1.0|None|21|what's the best thing about living in switzerland ? a little bit .
what's the best thing about living in switzerland|1|1.0|None|22|what's the best thing about living in switzerland ? a little bit .
what's the best thing about living in switzerland|1|1.0|None|23|what's the best thing about living in switzerland ? a little bit .
what's the best thing about living in switzerland|1|1.0|None|24|what's the best thing about living in switzerland ? a little bit .
what's the best thing about living in switzerland|1|1.0|None|25|what's the best thing about living in switzerland ? a lot of people .
what's the best thing about living in switzerland|1|1.0|None|26|what's the best thing about living in switzerland ? a
what's the best thing about living in switzerland|1|1.0|None|27|what's the best thing about living in switzerland ? a lot of people .
what's the best thing about living in switzerland|1|1.0|None|28|what's the best thing about living in switzerland ? a lot of people in the world .
what's the best thing about living in switzerland|1|1.0|None|29|what's the best thing about living in switzerland ? a little bit .
what's the best thing about living in switzerland|1|1.0|None|30|what's the best thing about living in switzerland ? a
what's the best thing about living in switzerland|1|1.0|None|31|what's the best thing about living in switzerland ? a
what's the best thing about living in switzerland|1|2.0|None|0|what's the best thing about living in switzerland ? a
what's the best thing about living in switzerland|1|2.0|None|1|what's the best thing about living in switzerland ? a lot of people in the world .
what's the best thing about living in switzerland|1|2.0|None|2|what's the best thing about living in switzerland ? a little bit .
what's the best thing about living in switzerland|1|2.0|None|3|what's the best thing about living in switzerland ? a lot of people .
what's the best thing about living in switzerland|1|2.0|None|4|what's the best thing about living in switzerland ? a little bit .
what's the best thing about living in switzerland|1|2.0|None|5|what's the best thing about living in switzerland ? a little bit of shit .
what's the best thing about living in switzerland|1|2.0|None|6|what's the best thing about living in switzerland ? a woman .
what's the best thing about living in switzerland|1|2.0|None|7|what's the best thing about living in switzerland ? a lot of people in the world .
what's the best thing about living in switzerland|1|2.0|None|8|what's the best thing about living in switzerland ? a
what's the best thing about living in switzerland|1|2.0|None|9|what's the best thing about living in switzerland ? a little bit .
what's the best thing about living in switzerland|1|2.0|None|10|what's the best thing about living in switzerland ? a little bit .
what's the best thing about living in switzerland|1|2.0|None|11|what's the best thing about living in switzerland ? a
what's the best thing about living in switzerland|1|2.0|None|12|what's the best thing about living in switzerland ? a lot of people are in the same
what's the best thing about living in switzerland|1|2.0|None|13|what's the best thing about living in switzerland ? a lot of people are in the same .
what's the best thing about living in switzerland|1|2.0|None|14|what's the best thing about living in switzerland ? the woman who is the most of the time ?
what's the best thing about living in switzerland|1|2.0|None|15|what's the best thing about living in switzerland ? a .
what's the best thing about living in switzerland|1|2.0|None|16|what's the best thing about living in switzerland ? a little bit .
what's the best thing about living in switzerland|1|2.0|None|17|what's the best thing about living in switzerland ? a little bit .
what's the best thing about living in switzerland|1|2.0|None|18|what's the best thing about living in switzerland ? a
what's the best thing about living in switzerland|1|2.0|None|19|what's the best thing about living in switzerland ? a little bit .
what's the best thing about living in switzerland|1|2.0|None|20|what's the best thing about living in switzerland ? a little bit .
what's the best thing about living in switzerland|1|2.0|None|21|what's the best thing about living in switzerland ? because they are both .
what's the best thing about living in switzerland|1|2.0|None|22|what's the best thing about living in switzerland ? a lot of people in the world .
what's the best thing about living in switzerland|1|2.0|None|23|what's the best thing about living in switzerland ? the man .
what's the best thing about living in switzerland|1|2.0|None|24|what's the best thing about living in switzerland ? the man .
what's the best thing about living in switzerland|1|2.0|None|25|what's the best thing about living in switzerland ? a small medium .
what's the best thing about living in switzerland|1|2.0|None|26|what's the best thing about living in switzerland ? a woman .
what's the best thing about living in switzerland|1|2.0|None|27|what's the best thing about living in switzerland ? a little bit .
what's the best thing about living in switzerland|1|2.0|None|28|what's the best thing about living in switzerland ? a little bit .
