starter_sentence|score|variation|temperature|iter|text
once upon a time|1|1.0|None|0|once upon a time , the man was walking down the street when he was a black man . he was a very good looking . he was a very good looking . he was a very good looking . he was a very good looking . he was a very good looking . he was a very good looking . he was a very good looking . he was a very good looking . he was a very good looking . he was a very good looking . he was a very good looking . he was a very good looking . he was a very good looking . he was a very good looking . he was a very good looking . he was a very good looking . he was a very good looking . he was a very good looking . he was a very good looking . he was a very good looking . he was a very good looking . he was a very good looking . he was a very good looking . he was a very good looking . he was a very good looking . he was a very good looking . he was a very good looking . he was a very good looking . he was a very good looking . he was a very good looking . he was a very good looking . he was a very good looking . he was a very good looking . he was a very good looking . he was a very good looking . he was a very good looking . he was a very good looking . he was a very good looking . he was a very good looking . he was a very good looking . he
once upon a time|1|1.0|None|1|once upon a time , a man walks into a bar and says , hey , i have a problem with my wife .
once upon a time|1|1.0|None|2|once upon a time , the man was born in a bar . he was a bit and he was a little bit . he was a bit and he was a little bit . he was a bit and he was a little bit . he was a bit and he was a little bit . he was a bit and he was a little bit . he was a bit and he was a little bit . he was a bit and he was a little bit . he was a bit and he was a great idea . he was a bit and he was a great idea . he was a bit and he was a great , but he was not a good idea . he was a bit and he was a great , but he was not a good idea . he was a bit and he was a great , but he was not a good idea . he was a very good , and he was not a good idea . he was a very good , and he was not a good idea . he was a very good , and he was not a good idea . he was a very good , and he was not a good idea . he was a very good , and he was not a good idea . he was a very good , and he was not a good idea . he was a very good , and he was not a good idea . he was a very good , and he was not a good idea . he was a very good , and he was not a good idea . he was a very good , and he
once upon a time|1|1.0|None|3|once upon a time , the man was a man in a bar . he was a man in a bar .
once upon a time|1|1.0|None|4|once upon a time , the man was a man in a bar . he was a bit and a man .
once upon a time|1|1.0|None|5|once upon a time , a man was walking down the street . he was a very beautiful woman . he was a very beautiful woman , and he was a very beautiful woman . she was a very beautiful woman , and she was a very beautiful woman . she was a very beautiful woman , and she was a very beautiful woman . she was a very beautiful woman , and she was a woman . she was a woman , and she was a woman . she was a woman , and she was a woman . she was a woman , and she was a woman . she was a woman , and she was a woman . she was a woman , and she was a woman . she was a woman , and she was a woman . she was a bit and she was a woman . she was a bit and she was a woman . she was a woman , and she was a woman . she was a bit and she was a woman . she was a woman , and she was a woman . she was a bit and she was a woman . she was a woman , and she was a woman . she was a bit and she was a woman . she was a woman , and she was a woman . she was a bit and she was a woman . she was a woman , and she was a woman . she was a bit and she was a woman . she was a woman , and she was a woman . she was a bit and she was a woman . she was a woman , and she was a woman
once upon a time|1|1.0|None|6|once upon a time , a man walks into a bar and says , bartender , i have a drink . the bartender says , i don't know , but i have no idea .
once upon a time|1|1.0|None|7|once upon a time , a man was walking down the street and saw a large sign on the side of the road . he was a very good looking . he was a very good , and he said , you know , i don't know , i am going to be a problem . i am going to be a man .
once upon a time|1|1.0|None|8|once upon a time , a man was walking down the street when he saw a large sign on the other side . he was a bit and said , i don't know , i said , i don't know , i was going to be a very good . i said , i don't know , i was going to be a very good . i said , i don't know , i was going to be a very good . i said , i don't know , but i don't know what it was .
once upon a time|1|1.0|None|9|once upon a time , a man walks into a bar and orders a beer .
once upon a time|1|1.0|None|10|once upon a time , a man walks into a bar and orders a beer . the bartender says , i don't know what you are . the bartender says , i don't know , but i don't know what i was doing .
once upon a time|1|1.0|None|11|once upon a time , a man walks into a bar and orders a beer .
once upon a time|1|1.0|None|12|once upon a time , the man was walking down the street when he saw a beautiful woman in the front of the road . he was a very beautiful woman . she was very happy , and she was very happy . she was very happy and asked her to marry . she said , you have to be a problem . i am , i am going to be a problem . i am going to be a problem . i am going to be a problem . i am going to be a problem . i am going to be a problem . i am going to be a problem . i am , i will give you a ticket . the man replied , i don't know , i have no idea .
once upon a time|1|1.0|None|13|once upon a time , a man walks into a bar and orders a beer . the bartender says , i don't know what to do . the bartender says , i don't know , but i don't know what to do . the bartender says , i don't know , but i don't know what to do . the bartender says , i don't know , but i don't know what to do .
once upon a time|1|1.0|None|14|once upon a time , a man walks into a bar and orders a beer . the bartender says , i don't know what i was doing .
once upon a time|1|1.0|None|15|once upon a time , a man walks into a bar and orders a beer . the bartender says , i don't know , but i don't have any money .
once upon a time|1|1.0|None|16|once upon a time , the man was walking down the street when he was a dog . he was a bit and said , i don't know what he was doing . he said , i don't know , i was just a bit of a bit of a bit .
once upon a time|1|1.0|None|17|once upon a time , the man was a very good looking for a job . he was a very good .
once upon a time|1|1.0|None|18|once upon a time , a man walks into a bar and orders a beer . the bartender says , i don't know what i said .
once upon a time|1|1.0|None|19|once upon a time , a man walks into a bar and sees a man sitting on a chair . the bartender says , hey , what's you have a drink ? the man says , well , i don't know , but i don't have any money .
once upon a time|1|1.0|None|20|once upon a time , the man was a man in a bar . he was a bit and a man .
once upon a time|1|1.0|None|21|once upon a time , a man was walking down the street and he was a very beautiful woman . he was a very good looking . he was a bit and said , i am going to be a problem . i am going to be a problem . i am going to be a problem . i am going to be a problem . i am going to be a problem . i am going to be a problem . i am going to be a problem . i am going to be a problem . i am going to be a problem . i am going to be a problem . i am going to be a problem . i am going to be a problem . i am going to be a problem . i am going to be a problem . i am going to be a problem . i am going to be a problem . i am going to be a problem . i am going to be a problem . i am going to be a problem . i don't know , but i don't know what to do . i don't know , but i don't know what to do . i don't know , but i don't know what to do . i don't know what to do . i don't know what to do . i don't know what to do . i don't know what to do . i don't know what to do . i don't know what to do . i don't know what to do . i don't know what to do . i don't know what to do . i don't know what to do . i don't know what to do . i
once upon a time|1|1.0|None|22|once upon a time , a man walks into a bar and orders a beer . the bartender says , hey , what's you have a drink ? the man says , well , i don't know , but i don't have any money .
once upon a time|1|1.0|None|23|once upon a time , a man walks into a bar and orders a beer . the bartender says , i don't know what i was doing .
once upon a time|1|1.0|None|24|once upon a time , a man walks into a bar and orders a beer . the bartender says , you have a drink . the man says , i don't know , but i don't have any money .
once upon a time|1|1.0|None|25|once upon a time , the man was walking down the street . he was a bit and he was a bit . he was a bit of a bit . he was a bit of a bit of a bit . he was a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit . he was just as he was . he was a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit . he was just as he was . he was a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a
once upon a time|1|1.0|None|26|once upon a time , the man was walking down the street . he was walking down the street . he was a dog . he was a bit and he said , i don't know what he said .
once upon a time|1|1.0|None|27|once upon a time , a man walks into a bar and says , i have a problem with my wife .
once upon a time|1|1.0|None|28|once upon a time , a man walks into a bar and says , i don't know what it was .
once upon a time|1|1.0|None|29|once upon a time , a man was walking down the street and saw a large large . he was a very beautiful woman . he was a very beautiful woman , and he was a very beautiful woman . she was very happy , and she was a very beautiful woman . she was very happy , and she was a very beautiful woman . she was very happy , and she was a very beautiful woman . she was very happy , and she was a very beautiful woman . she was very happy , and she was a very beautiful woman . she was very happy , and she was a very beautiful woman . she was very happy , and she was a very beautiful woman . she was very happy , and she was a very beautiful woman . she was very happy , and she was a very beautiful woman . she was very happy , and she was a very beautiful woman . she was very happy , and she was a very beautiful woman . she was very happy , and she was a very beautiful woman . she was very happy , and she was a very beautiful woman . she was very happy , and she was a very beautiful woman . she was very happy , and she was a very beautiful woman . she was very happy , and she was a very beautiful woman . she was very happy , and she was a very beautiful woman . she was very happy , and she was a very beautiful woman . she was very happy , and she was a very beautiful woman . she was very happy , and she was a very beautiful woman .
once upon a time|1|1.0|None|30|once upon a time , the man was walking down the street when he saw a sign of the other side . he was a bit and said , i am going to be a problem .
once upon a time|1|1.0|None|31|once upon a time , a man walks into a bar and orders a drink . the bartender says , hey , what's a big problem ? the man says , well , i don't know .
once upon a time|1|2.0|None|0|once upon a time , a man was walking down the street . he was a dog . he said , i have a problem with my wife . i said , i have a lot of money . i am going to be a genie .
once upon a time|1|2.0|None|1|once upon a time , the pope was a new forest . the devil was a little bit .
once upon a time|1|2.0|None|2|once upon a time , a man walks into a bar and orders a drink . the bartender says , well , i don't know , but i don't have a lot of money .
once upon a time|1|2.0|None|3|once upon a time , i am going to be a joke . i am a man .
once upon a time|1|2.0|None|4|once upon a time , a man , a man , and a woman walk into a bar . the bartender says , i have a problem with your penis . the man says , i don't know , but i just got a little bit .
once upon a time|1|2.0|None|5|once upon a time , the first man was walking down the street and saw a beautiful woman in the park . the first man said , i wish you are a genie . the genie said , i wish you are . the genie said , i wish you are . the genie said , i wish you are . the genie said , i wish you are . the genie said , i wish you are . the genie said , i wish you are . the genie said , i wish you are . the genie said , i wish you will be a genie . the genie said , i wish you will be a genie . the genie said , i wish you will be a genie . the genie said , i wish you will be a genie . the genie said , i wish you will be a genie . the genie said , i wish you will be a genie . the genie said , i wish you will be a genie . the genie said , i wish you will be a genie . the genie said , i wish you will be a genie . the genie said , i wish you will be a genie . the genie said , i wish you will be a genie . the genie said , i wish you will be a genie . the genie said , i wish you will be a genie . the genie said , i wish you will be a genie . the genie said , i wish you will be a genie . the genie said , i wish you will be a genie . the genie said , i wish you will be a genie
once upon a time|1|2.0|None|6|once upon a time , a man walks into a bar and says , bartender , i don't know what the hell is .
once upon a time|1|2.0|None|7|once upon a time , the man was walking down the street . he was walking down the street . he was walking down the street . he was walking down the street . he was walking down the street . he was walking down the street . he was walking down the street . he was walking down the street . he was walking down the street . he was walking down the street . he was walking down the street . he was walking down the street . he was walking down the street . he was walking down the street . he was walking down the street . he was walking down the street . he was walking down the street . he was walking down the street . he was walking down the street . he was walking down the street . he was walking down the street . he was walking down the street . he was walking down the street . he was walking down the street . he was walking down the street . he was walking down the street . he was walking down the street . he was walking down the street . he was walking down the street . he was walking down the street . he was walking down the street . he was walking down the street . he was walking down the street . he was walking down the street . he was walking down the street . he was walking down the street . he was walking down the street . he was walking down the street . he was walking down the street . he was walking down the street . he was walking down the street . he was walking down the street .
once upon a time|1|2.0|None|8|once upon a time , a man walks into a bar and says , i have a drink .
once upon a time|1|2.0|None|9|once upon a time , a man was in a bar . he was a very good looking .
