starter_sentence|temperature|score|iter|text
a girl|None|0|0|a girl walks into a bar she says .
a girl|None|0|1|a girl walks into a bar and says , i have a beer in the bar . the bartender says , i don't know what i said .
a girl|None|0|2|a girl walks into a bar and says to the bartender , i don't know what i said .
a girl|None|0|3|a girl walks into a bar and says , i don't know what to do .
a girl|None|0|4|a girl walks into a bar and says , i have a problem with your hands .
a girl|None|1|0|a girl walks into a bar and says to the bartender , i don't know what i said .
a girl|None|1|1|a girl walks into a bar and asks for a beer . the bartender says , i don't know , i just got a little girl .
a girl|None|1|2|a girl walks into a bar and says , i have a problem with your hands .
a girl|None|1|3|a girl walks into a bar and says , i have a drink .
a girl|None|1|4|a girl walks into a bar and says , i have a good thing .
a girl|None|5|0|a girl walks into a bar and says , i have a problem with your hands .
a girl|None|5|1|a girl walks into a bar and says , i have a problem with my wife .
a girl|None|5|2|a girl is walking down the street . he sees a woman sitting next to him . the man says , i don't know , i just got a little girl .
a girl|None|5|3|a girl walks into a bar and orders a beer . the bartender says , i don't know what i said .
a girl|None|5|4|a girl walks into a bar and sees a sign that says , i don't know what it was .
a girl|None|10|0|a girl is a lot of a girl and a girl is walking down the street . the man is sitting on the porch and the woman is sitting on the porch . the man is sitting on the porch , and the woman is sitting on the porch . the man is sitting on the porch , the man is sitting on the porch and the man is sitting on the porch . the man walks up to the bar and says , hey , i don't have a lot of my life .
a girl|None|10|1|a girl walks into a bar and orders a beer . the bartender says , i have a problem with your hands . the bartender says , i don't know what the hell is that ? the bartender says , i don't know , i would like to buy a million bucks . the bartender says , i don't know , i would like to buy a million bucks . the bartender says , i don't have a lot of money . i don't have a lot of money .
a girl|None|10|2|a girl walks into a bar and orders a beer . the bartender says , i have a problem with my wife . the bartender says , i don't know what the hell is that ? the woman says , i don't know , i just got a little girl .
a girl|None|10|3|a girl walks into a bar and orders a beer . the bartender says , i have a lot of money , i am going to give you a ticket . the man replies , i don't know , i don't know what the hell is that ?
a girl|None|10|4|a girl walks into a bar and orders a beer . the bartender says , i have a problem with your hands . the bartender says , i don't know , i just got a little girl .
a girl|None|20|0|a girl the a young man rushes into the same question about attention , the 'i , the other side . wanting to the , 'i 'oh
a girl|None|20|1|a girl the a young lady was a ma'am , hysterically . hesitation , the other result , the other result , the other result laughter hysterically . disbelief , the other side aback . hesitation , the 'i continued to the yourself . 'oh
a girl|None|20|2|a girl the a young man rushes into the same question about attention , the 'i continued to the 'i
a girl|None|20|3|a girl the a young man rushes into the same question about whether to a lot of the night . curiosity forward forward . tears , the 'i agrees to the 'i
a girl|None|20|4|a girl the a young boy rushes into the same question to the the question , the other side forward . the first hesitation , hysterically . hesitation , the 'i continued to your birth , what's 'i
a girl|0.2|0|0|a girl walks into a bar and asks for a drink . the bartender says , i don't know , i just got a little bit of a bit of a bit .
a girl|0.2|0|1|a girl is walking down the street and he sees a girl in the front of the road . he goes to the bar and says , hey , i don't know what to do .
a girl|0.2|0|2|a girl walks into a bar and says , i have a question .
a girl|0.2|0|3|a girl walks into a bar she asks . the guy says , i don't know what to do .
a girl|0.2|0|4|a girl walks into a bar and says , i don't know what i mean .
a girl|0.2|1|0|a girl is walking down the street when he sees a girl with a girl on her face . she says , hey , i don't know what the hell is that ?
a girl|0.2|1|1|a girl walks into a bar and says , i have a problem with the problem .
a girl|0.2|1|2|a girl walks into a bar and says to the bartender , hey , i have a problem with my penis . the bartender says , i don't know , but i just can't know .
a girl|0.2|1|3|a girl walks into a bar and asks for a drink . the bartender says , i don't know if i was a bit of a bit of a bit .
a girl|0.2|1|4|a girl walks into a bar and says , bartender , i don't know what it is .
a girl|0.2|5|0|a girl walks into a bar and sees a woman sitting on a table . the bartender says , you know , i just got a little girl , i don't have a lot of time .
a girl|0.2|5|1|a girl walks into a bar and asks her bartender , if you have a beer , i will you like a woman ? the bartender says , well , i don't have a lot of money .
a girl|0.2|5|2|a girl walks into a bar and she says , i don't want to be a problem .
a girl|0.2|5|3|a girl walks into a bar and asks her if she can have sex with her . she says , i don't know what i said .
a girl|0.2|5|4|a girl walks into a bar and asks for a beer . the bartender says , i don't know what i said .
